Title,Authors,Periodical-Title,Pub-Year,PMID
Disruptions of functional connectivity in the default mode network of comatose patients,"Norton, L.; Hutchison, R. M.; Young, G. B.; Lee, D. H.; Sharpe, M. D.; Mirsattari, S. M.",Neurology,2012,
Early loss of cardiac function in acute myocardial infarction is associated with redox imbalance,"Vicente Tavares, Angela Maria; da Rosa Araujo, Alex Sander; Llesuy, Susana; Khaper, Neelam; Rohde, Luis Eduardo; Clausell, Nadine; Bello-Klein, Adriane",Experimental & Clinical Cardiology,2012,
"ECG dispersion mapping predicts clinical deterioration, measured by increase in the Simple Clinical Score","Kellett, J.; Emmanuel, A.; Rasool, S.",Acute Medicine,2012,
"Epilepsy, mental health disorder, or both?","Beletsky, Vadim; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Equal Care for All: Reducing Disparities in Access to Psychosocial Oncology Services Across Geographically Broad and Disparate Populations,"Kandler, L.; Sellick, S.",Psycho - Oncology,2012,
Ethical Space for a Sensitive Research Topic: Engaging First Nations Women in the Development of Culturally Safe Human Papillomavirus Screening,"Zehbe, Ingeborg; Maar, Marion; Nahwegahbow, Amy J.; Berst, Kayla S. M.; Pintar, Janine",International Journal Of Indigenous Health,2012,
Evaluating the Knowledge Utilization of a Toolkit to Enhance the Capacity of Rural Communities to Deliver Palliative Care,"McIntosh, Michele J.; Mettam, Hilary; Kelley, Mary Lou; Williams, Allison",Journal Of Rural And Community Development,2012,
Evaluation of breast amorphous calcifications by a computer-aided detection system in full-field digital mammography,"Scaranelo, A. M.; Eiada, R.; Bukhanov, K.; Crystal, P.",British Journal Of Radiology,2012,
Evaluation of the trade-offs encountered in planning and treating locally advanced head and neck cancer: intensity-modulated radiation therapy vs dual-arc volumetric-modulated arc therapy,"Oliver, M.; McConnell, D.; Romani, M.; McAllister, A.; Pearce, A.; Andronowski, A.; Wang, X.; Leszczynski, K.",British Journal Of Radiology,2012,
"Evolution of Palliative Care in Ontario: The Impact of Geography, Funding, and Advocacy","DeMiglio, Lily; Dykeman, Sarah; Williams, Allison; Kelley, Mary Lou",Journal Of Rural And Community Development,2012,
Feasibility and Outcomes of a Community-Based Taper-to-Low-Dose-Maintenance Suboxone Treatment Program for Prescription Opioid Dependence in a Remote First Nations Community in Northern Ontario,"Katt, Mae; Chase, Claudette; Samokhvalov, Andriy V.; Argento, Elena; Rehm, Juergen; Fischer, Benedikt",International Journal Of Indigenous Health,2012,
Functional magnetic resonance imaging for language mapping in temporal lobe epilepsy,"Wang, An; Peters, Terry M.; de Ribaupierre, Sandrine; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Giant cell temporal arteritis associated with overlying basal cell carcinoma: co-incidence or connection?,"Mahe, Etienne; El Demellawy, Dina; Bane, Anita; Alowami, Salem",Rare Tumors,2012,
Impact of a Clinical Information System on Multitasking in Two Intensive Care Units,"Ballermann, Mark; Shaw, Nicola; Mayes, Damon; Gibney, R.",Electronic Journal Of Health Informatics,2012,
Impact of Disability Status on Ischemic Stroke Costs in Canada in the First Year,"Mittmann, N.; Seung, S. J.; Hill, M. D.; Phillips, S. J.; Hachinski, V.; Coté, R.; Buck, B. H.; Mackey, A.; Gladstone, D. J.; Howse, D. C.; Shuaib, A.; Sharma, M.",Canadian Journal Of Neurological Sciences,2012,
"Lasiodiplodan, an exocellular (1→6)-β-d-glucan from Lasiodiplodia theobromae MMPI: production on glucose, fermentation kinetics, rheology and anti-proliferative activity","Alves da Cunha, Mario A.; Turmina, Janaina A.; Ivanov, Raphael C.; Barroso, Roney R.; Marques, Patricia T.; Fonseca, Eveline A. I.; Fortes, Zuleica B.; Dekker, Robert F. H.; Khaper, Neelam; Barbosa, Aneli M.",Journal Of Industrial Microbiology & Biotechnology,2012,
Neocortical temporal lobe epilepsy,"Bercovici, Eduard; Kumar, Balagobal Santosh; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Obesometric factors associated with increased skin-to-stone distances in renal stone patients,"Allard, Christopher B.; Shuster, Anatoly; Pinthus, Jehonathan H.; Farrokhyar, Forough; Raees, A.; Patlas, Michael; Matsumoto, Edward D.; Whelan, J. P.",Canadian Journal Of Urology,2012,
Origin of DNA replication at the human lamin B2 locus OBR or ABR?,"Lee, Hoyun; Romero, Julia",Cell Cycle,2012,
Parents' perceptions of children's weight: the accuracy of ratings and associations to strategies for feeding,"Tremblay, Line; Rinaldi, Christina; Lovsin, Tanya; Zecevic, Cheryl",Early Child Development And Care,2012,
Postpartum Depression: Diagnostic and Treatment Issues,"Sharma, Verinder; Sharma, Priya",Journal Of Obstetrics And Gynaecology Canada,2012,
Potential use of computer navigation in the treatment of primary benign and malignant tumors in children,"Saidi, Kevan",Current Reviews In Musculoskeletal Medicine,2012,
Prediction of mortality 1 year after hospital admission,"Kellett, J.; Rasool, S.; McLoughlin, B.",QJM - An International Journal Of Medicine,2012,
RBM10 Modulates Apoptosis and Influences TNF-alpha Gene Expression,"Wang, Ke; Bacon, Mackensey L.; Tessier, Julie J.; Rintala-Maki, Nina; Tang, Vanessa; Sutherland, Leslie C.",Journal Of Cell Death,2012,
Report of the ad-hoc consultation on aging and immunization for a future WHO research agenda on life-course immunization,"Thomas-Crusells, Judith; McElhaney, Janet E.; Aguado, M. T.",Vaccine,2012,
Role of electroencephalography in presurgical evaluation of temporal lobe epilepsy,"Raghavendra, Seetharam; Nooraine, Javeria; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Role of functional MRI in presurgical evaluation of memory function in temporal lobe epilepsy,"Limotai, Chusak; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Should systematic risk assessment and immediate intervention of the acutely ill patient replace the traditional management paradigm?,"Kellett, John",Acute Medicine,2012,
Spontaneous EEG-Functional MRI in Mesial Temporal Lobe Epilepsy: Implications for the Neural Correlates of Consciousness,"Wang, Zheng; Norton, Loretta; Hutchison, R. M.; Ives, John R.; Mirsattari, Seyed M.",Epilepsy Research And Treatment,2012,
Static and rotational step-and-shoot IMRT treatment plans for the prostate: A risk comparison study,"Blais, Adam Richard; Lederer, Ernst; Oliver, Michael; Leszczynski, Konrad",Medical Physics,2012,
Systematic review of knowledge translation strategies in the allied health professions,"Scott, Shannon D.; Albrecht, Lauren; O'Leary, Kathy; Ball, Geoff D. C.; Hartling, Lisa; Hofmeyer, Anne; Jones, C. A.; Klassen, Terry P.; Burns, Katharina Kovacs; Newton, Amanda S.; Thompson, David; Dryden, Donna M.",Implementation Science,2012,
The impact of CMV infection on survival in older humans,"Pawelec, Graham; McElhaney, Janet E.; Aiello, Allison E.; Derhovanessian, Evelyna",Current Opinion In Immunology,2012,
The mentoring needs of trainees in family practice,"Brown, Judith Belle; Thorpe, Cathy; Paquette-Warren, Jann; Stewart, Moira; Kasperski, Jan",Education For Primary Care,2012,
Understanding The Health Impact of Caregiving: A Qualitative Study of Canadian Parents of Children With Cancer (MT),"Klassen, Anne; Gulati, Sonia; Rosenberg-Yunger, Zahava; Granek, Leeat; Watt, Lisa; Dix, David; Klaassen, Robert; Sung, Lillian; Cairney, John; Shaw, Nicola",Quality Of Life Research,2012,
Use of point of care sonography by emergency physicians,"Henneberry, Ryan J.; Hanson, Amanda; Healey, Andrew; Hebert, Guy; Ip, Urbain; Mensour, Mark; Mikhail, Pierre; Miller, Steve; Socransky, Steve; Woo, Michael; CAEP Ultrasound, Position Statement",Canadian Journal Of Emergency Medicine,2012,
A protocol for a systematic review of knowledge translation strategies in the allied health professions,"Scott, Shannon D.; Albrecht, Lauren; O'Leary, Kathy; Ball, Geoff D. C.; Dryden, Donna M.; Hartling, Lisa; Hofmeyer, Anne; Jones, C. A.; Burns, Kathy Kovac; Newton, Amanda S.; Thompson, David; Klassen, Terry P.",Implementation Science,2011,
Acute hospital medicine - A new sub-speciality or internal medicine re-born?,"Kellett, John",European Journal Of Internal Medicine,2011,
CAEP position statement on bystander cardiopulmonary resuscitation,"Vaillancourt, Christian; Epstein, Norman; Cheskes, Sheldon; Maloney, Justin; Stiell, Ian G.; Christenson, James; Affleck, Andrew; Travers, Andrew H.; Osmond, Martin H.; Forgie, Patrick; Slenys, Jason",Canadian Journal Of Emergency Medicine,2011,
Children's spirituality: epistemology and theory from various helping professions,"Boynton, Heather Marie",International Journal Of Childrens Spirituality,2011,
Combining patient administration and laboratory computer systems - A proposal to measure and improve the quality of care,"Wolff, Anthony H.; Kellett, John",European Journal Of Internal Medicine,2011,
Comparison of the heart and breathing rate of acutely ill medical patients recorded by nursing staff with those measured over 5 min by a piezoelectric belt and ECG monitor at the time of admission to hospital,"Kellett, John; Li, Min; Rasool, Shahzeb; Green, Geoffrey C.; Seely, Andrew",Resuscitation,2011,
Cystathionine gamma-lyase-deficient smooth muscle cells exhibit redox imbalance and apoptosis under hypoxic stress conditions,"Bryan, Sean; Yang, Guangdong; Wang, Rui; Khaper, Neelam",Experimental & Clinical Cardiology,2011,
Cytoplasmic membrane response to copper and nickel in Acidithiobacillus ferrooxidans,"Mykytczuk, N. C. S.; Trevors, J. T.; Ferroni, G. D.; Leduc, L. G.",Microbiological Research,2011,
Defining competency-based evaluation objectives in family medicine Dimensions of competence and priority topics for assessment,"Allen, Tim; Brailovsky, Carlos; Rainsberry, Paul; Lawrence, Katherine; Crichton, Tom; Carpentier, Marie-Pierre; Visser, Shaun",Canadian Family Physician,2011,
Efficacy of Pt-modified TiO2 nanoparticles in cardiac cells,"Mallik, Adiel; Bryan, Sean; Puukila, Stephanie; Chen, Aicheng; Khaper, Neelam",Experimental & Clinical Cardiology,2011,
Fetal and Perinatal Autopsy in Prenatally Diagnosed Fetal Abnormalities With Normal Karyotype,"Desilets, Valerie; Oligny, Luc Laurier; Wilson, R. D.; Allen, Victoria M.; Audibert, Francois; Blight, Claire; Brock, Jo-Ann; Carroll, June; Cartier, Lola; Gagnon, Alain; Johnson, Jo-Ann; Langlois, Sylvie; Murphy-Kaulbeck, Lynn; Okun, Nanette; Pastuck, Melanie; Gilmour, Donna; Bell, Douglas; Carson, George; Hughes, Owen; Le Jour, Caroline; Leduc, Dean; Leyland, Nicholas; Martyn, Paul; Masse, Andre; Wolfman, Wendy; Ehman, William; Biringer, Anne; Gagnon, Andree; Graves, Lisa; Hey, Jonathan; Konkin, Jill; Leger, Francine; Marshall, Cindy",Journal Of Obstetrics And Gynaecology Canada,2011,
Fusion and visualization of intraoperative cortical images with preoperative models for epilepsy surgical planning and guidance,"Wang, A.; Mirsattari, S. M.; Parrent, A. G.; Peters, T. M.",Computer Aided Surgery,2011,
Hypoglycemic and Hypocholesterolemic Effects of Botryosphaeran from Botryosphaeria rhodina MAMB-05 in Diabetes-Induced and Hyperlipidemia Conditions in Rats,"Miranda-Nantes, Carolina; Fonseca, Eveline A. I.; Zaia, Cassia T. B. V.; Dekker, Robert F. H.; Khaper, Neelam; Castro, Inar A.; Barbosa, Aneli M.",Mycobiology,2011,
Improved cancer specific-survival in patients with carcinoma invading bladder muscle expressing cyclo-oxygenase-2,"Aziz, Anis; Lessard, Annie; Moore, Katherine; Hovington, Helene; Latulippe, Eva; Larue, Helene; Fradet, Yves; Lacombe, Louis",BJU International,2011,
Lopinavir up-regulates expression of the antiviral protein ribonuclease L in human papillomavirus-positive cervical carcinoma cells,"Batman, G.; Oliver, A. W.; Zehbe, I.; Richard, C.; Hampson, L.; Hampson, I. N.",Antiviral Therapy,2011,
Maternity Leave in Normal Pregnancy,"Leduc, Dean; Gill, Glenn H.; Biringer, Anne; Duperron, Louise; Ezzat, Ahmed M.; Jones, Donna; Lee, Lily; Muise, Suzanne; Parish, Barbara Mary; Regush, Lexy; Senikas, Vyta; Wilson, Kathi; Yeung, Grace; Ehman, William; Gagnon, Andree; Graves, Lisa; Hey, Jonathan; Konkin, Jill; Leger, Francine; Marshall, Cindy; Clinical Practice, Obstet Comm; Family Physicians, Advisory Comm",Journal Of Obstetrics And Gynaecology Canada,2011,
Perioperative mortality after hemiarthroplasty related to fixation method,"Costain, Darren J.; Whitehouse, Sarah L.; Pratt, Nicole L.; Graves, Stephen E.; Ryan, Philip; Crawford, Ross W.",Acta Orthopaedica,2011,
Preparing Learners for Future Experiences using Game-Based Learning,"Thompson, David; Bauman, Eric; Ranger, Nicole; Berry, Sue",Clinical Simulation In Nursing,2011,
Providing Culturally Sensitive and Linguistically Appropriate Services: An Insider Construct,"Peltier, S.",Canadian Journal Of Speech - Language Pathology And Audiology,2011,
"Rates of detection of mood and anxiety disorders in primary care: a descriptive, cross-sectional study","Vermani, Monica; Marcus, Madalyn; Katzman, Martin A.",The Primary Care Companion For CNS Disorders,2011,
Reactive oxygen and nitrogen species balance in the determination of thyroid hormones-induced cardiac hypertrophy mediated by renin-angiotensin system,"Araujo, A. S. R.; Diniz, G. P.; Seibel, F. E. R.; Branchini, G.; Ribeiro, M. F. M.; Brum, I. S.; Khaper, N.; Barreto-Chaves, M.; Bello-Klein, A.",Molecular And Cellular Endocrinology,2011,
Revisiting the Association Between Endometriosis and Bipolar Disorder,"Kumar, Vikaash; Khan, Mustaq; Vilos, George A.; Sharma, Verinder",Journal Of Obstetrics And Gynaecology Canada,2011,
"Serious Complications for Patients, Care Providers and Policy Makers: Tackling the Structural Violence of First Nations People Living with Diabetes in Canada","Maar, Marion A.; Manitowabi, Darrel; Gzik, Danusia; McGregor, Lorrilee; Corbiere, Cheri",International Indigenous Policy Journal,2011,
Sexual and Reproductive Health Counselling by Health Care Professionals,"Burnett, M.; Aggarwal, A.; Davis, V.; Dempster, J.; Fisher, W.; MacKinnon, K.; Pellizzari, R.; Polomeno, V.; Rutherford, M.; Senikas, V.; Wagner, M. S.; Ehman, W.; Biringer, A.; Gagnon, A.; Graves, L.; Hey, J.; Konkin, J.; Léger, F.; Marshall, C.; Leyland, N.; Wolfman, W.; Allaire, C.; Awadalla, A.; Best, C.; Dunn, S.; Heywood, M.; Lemyre, M.; Marcoux, V.; Menard, C.; Potestio, F.; Rittenberg, D.; Singh, S.; Social Sexual, Issues Comm; Family Physicians, Advisory Comm; Clinical Practice, Gynaecology Comm",Journal Of Obstetrics And Gynaecology Canada,2011,
STAKEHOLDER INPUT INTO A TOOL TO INVESTIGATE CAREGIVING ISSUES FROM THE PERSPECTIVE OF FAMILY PHYSICIANS,"Gibbons, C.; Bedard, M.; Lambert-Belanger, A.; Riendeau, J.",Gerontologist,2011,
Substance Use in Pregnancy,"Wong, Suzanne; Ordean, Alice; Kahan, Meldon; Gagnon, Robert; Hudon, Lynda; Basso, Melanie; Bos, Hayley; Crane, Joan; Davies, Gregory; Delisle, Marie-France; Farine, Dan; Menticoglou, Savas; Mundle, William; Murphy-Kaulbeck, Lynn; Ouellet, Annie; Pressey, Tracy; Roggensack, Anne; Sanderson, Frank; Ehman, William; Biringer, Anne; Gagnon, Andree; Graves, Lisa; Hey, Jonathan; Konkin, Jill; Leger, Francine; Marshall, Cindy; Robertson, Deborah; Bell, Douglas; Carson, George; Gilmour, Donna; Hughes, Owen; Le Jour, Caroline; Leduc, Dean; Leyland, Nicholas; Martyn, Paul; Masse, Andre; Abrahams, Ron; Avdic, Sanja; Berger, Howard; Franklyn, Mike; Harper, Samuel; Hunt, Georgia; Mousmanis, Patricia; Murphy, Kellie; Payne, Sarah; Midmer, Deana; de la Ronde, Sandra; Maternal Fetal, Med Comm; Family Physicians, Advisory Comm; Medico-Legal Comm",Journal Of Obstetrics And Gynaecology Canada,2011,
The occasional injection for trochanteric bursitis,"Kelly, Len; Minty, Lauren",Canadian Journal Of Rural Medicine,2011,
The prediction of the in-hospital mortality of acutely ill medical patients by electrocardiogram (ECG) dispersion mapping compared with established risk factors and predictive scores - A pilot study,"Kellett, John; Rasool, Shahzeb",European Journal Of Internal Medicine,2011,
The Presence of a Third Party During Breast and Pelvic Examinations,"Burnett, M.; Aggarwal, A.; Davis, V.; Dempster, J.; Fisher, W.; MacKinnon, K.; Pellizzari, R.; Polomeno, V.; Rutherford, M.; Wagner, M. S.; Ehman, W.; Biringer, A.; Gagnon, A.; Graves, L.; Hey, J.; Konkin, J.; Léger, F.; Marshall, C.; Leyland, N.; Wolfman, W.; Allaire, C.; Awadalla, A.; Best, C.; Dunn, S.; Heywood, M.; Lemyre, M.; Marcoux, V.; Ménard, C.; Potestio, F.; Rittenberg, D.; Singh, S.",Journal Of Obstetrics And Gynaecology Canada,2011,
The Primary Benefits of Angiotensin-Converting Enzyme Inhibition on Cardiac Remodeling Occur During Sleep Time in Murine Pressure Overload Hypertrophy,"Martino, Tami A.; Tata, Nazneen; Simpson, Jeremy A.; Vanderlaan, Rachel; Dawood, Fayez; Kabir, M. G.; Khaper, Neelam; Cifelli, Carlo; Podobed, Peter; Liu, Peter P.; Husain, Mansoor; Heximer, Scott; Backx, Peter H.; Sole, Michael J.",Journal Of The American College Of Cardiology,2011,
Transforming Child and Youth Mental Health Care via Innovative Technological Solutions,"Pepler, Antonio; Boydell, Katherine M.; Teshima, John; Volpe, Tiziana; Braunberger, Peter G.; Minden, Debbie",Healthcare Quarterly,2011,
"Twelve-week, randomized, multicenter study comparing a fixed combination of brimonidine-timolol with timolol as therapy adjunctive to latanoprost","Fechtner, Robert D.; Harasymowycz, Paul; Nixon, Donald R.; Vold, Steven D.; Zaman, Fiaz; Williams, Julia M.; Hollander, David A.",Clinical Ophthalmology,2011,
Ultrasonographic Cervical Length Assessment in Predicting Preterm Birth in Singleton Pregnancies,"Lim, Kenneth; Butt, Kimberly; Crane, Joan M.; Morin, Lucie; Bly, Stephen; Cargill, Yvonne; Davies, Gregory; Denis, Nanette; Ouellet, Annie; Salem, Shia; Senikas, Vyta; Ehman, William; Biringer, Anne; Gagnon, Andree; Graves, Lisa; Hey, Jonathan; Konkin, Jill; Leger, Francine; Marshall, Cindy; Gagnon, Robert; Hudon, Lynda; Basso, Melanie; Bos, Hayley; Delisle, Marie-France; Menticoglou, Savas; Mundle, William; Pressey, Tracy; Pylypjuk, Christy; Roggensack, Anne; Sanderson, Frank; Diagnostic, Imaging Comm; Family Physicians, Advisory Comm; Maternal Fetal, Med Comm",Journal Of Obstetrics And Gynaecology Canada,2011,
Who will be sicker in the morning? Changes in the Simple Clinical Score the day after admission and the subsequent outcomes of acutely ill unselected medical patients,"Kellett, John; Emmanuel, Andrew; Deane, Breda",European Journal Of Internal Medicine,2011,
A dynamic thermal model for heating microalgae incubator ponds using off-gas,"Shang, H.; Scott, J. A.; Shepherd, S. H.; Ross, G. M.",Chemical Engineering Science,2010,
"Achieving Cultural Integration in Health Services: Design of Comprehensive Hospital Model for Traditional Healing, Medicines, Foods and Supports","Walker, Roger; Cromarty, Helen; Linkewich, Barbara; Semple, Douglas; Pierre-Hansen, Natalie; Kelly, Len",International Journal Of Indigenous Health,2010,
Bone marrow derived cells decrease inflammation but not oxidative stress in an experimental model of acute myocardial infarction,"Vicente Tavares, Angela Maria; da Rosa Araujo, Alex Sander; Baldo, Guilherme; Matte, Ursula; Khaper, Neelam; Bello-Klein, Adriane; Rohde, Luis Eduardo; Clausell, Nadine",Life Sciences,2010,
"Cultural Missteps and Ethical Considerations with Indigenous Populations: Preliminary Reflections from Northeastern Ontario, Canada","Schinke, Robert J.; Enosse, Lawrence; Peltier, Duke; Watson, Jack; Lightfoot, Nancy",Journal Of Academic Ethics,2010,
Cystathionine gamma-lyase deficiency and overproliferation of smooth muscle cells,"Yang, Guangdong; Wu, Lingyun; Bryan, Sean; Khaper, Neelam; Mani, Sarathi; Wang, Rui",Cardiovascular Research,2010,
Design and synthesis of anti-breast cancer agents from 4-piperazinylquinoline: A hybrid pharmacophore approach,"Solomon, V. R.; Hu, Changkun; Lee, Hoyun",Bioorganic & Medicinal Chemistry,2010,
Effective teaching strategies and methods of delivery for patient education,"Friedman, Audrey Jusko; Boyko, Susan; Cosby, Roxanne",Journal of Cancer Education,2010,
Endometriosis: Diagnosis and Management,"Leyland, N.; Casper, R.; Laberge, P.; Singh, S. S.; Allen, L.; Arendas, K.; Allaire, C.; Awadalla, A.; Best, C.; Contestabile, E.; Dunn, S.; Heywood, M.; Leroux, N.; Potestio, F.; Rittenberg, D. A.; Soucy, R.; Wolfman, W. L.; Senikas, V.; Clinical Practice, Gynaecology Comm",Journal Of Obstetrics And Gynaecology Canada,2010,
How long does it take to perform emergency ultrasound for the primary indications?,"Socransky, S.; Wiss, R.; Bota, G.; Furtak, T.",Critical Ultrasound Journal,2010,
Increased resistance to hydrogen peroxide-induced cardiac contracture is associated with decreased myocardial oxidative stress in hypothyroid rats,"da Rosa Araujo, Alex Sander; Silva de Miranda, Madalena Freitas; de Oliveira, Ubirajara Oliveira; Fernandes, Tania; Llesuy, Susana; Rios Kucharski, Luiz Carlos; Khaper, Neelam; Bello-Klein, Adriane",Cell Biochemistry And Function,2010,
Oral direct factor Xa inhibition with edoxaban for thromboprophylaxis after elective total hip replacement,"Raskob, G.; Cohen, A. T.; Eriksson, B. I.; Puskas, D.; Shi, M. G.; Bocanegra, T.; Weitz, J. I.",Thrombosis And Haemostasis,2010,
Protective effects of polyphenolic compounds on oxidative stress-induced cytotoxicity in PC12 cells,"Crispo, James A. G.; Ansell, Dominique R.; Piche, Matthew; Eibl, Joseph K.; Khaper, Neelam; Ross, Gregory M.; Tai, T. C.",Canadian Journal Of Physiology And Pharmacology,2010,
Recurrent Urinary Tract Infection,"Epp, Annette; LarocheIle, Annick; Lovatsis, Danny; Walter, Jens -Erik; Easton, William; Farrell, Scott A.; Girouard, Lise; Gupta, Chander; Harvey, Marie-Andree; Robert, Magali; Ross, Sue; Schachter, Joyce; Schulz, Jane A.; Vkie, David; Ehman, William; Domb, Sharon; Gagnon, Andree; Hughes, Owen; Konkin, Jill; Lynch, Joanna; Marshall, Cindy; Comm, Urogynaecology; Family Physicians, Advisory Comm",Journal Of Obstetrics And Gynaecology Canada,2010,
Redox Regulation of Myocardial Erk 1/2 Phosphorylation in Experimental Hyperthyroidism: Role of Thioredoxin-Peroxiredoxin System,"da Rosa Araujo, Alex Sander; Fernandes, Tania; Ribeiro, Maria Flavia; Khaper, Neelam; Bello-Klein, Adriane",Journal Of Cardiovascular Pharmacology,2010,
Targeting the Vicious Inflammation-Oxidative Stress Cycle for the Management of Heart Failure,"Khaper, Neelam; Bryan, Sean; Dhingra, Sanjiv; Singal, Rohit; Bajaj, Anju; Pathak, Chander M.; Singal, Pawan K.",Antioxidants & Redox Signaling,2010,
Traditional Anishinabe Healing in a Clinical Setting: The Development of an Aboriginal Interdisciplinary Approach to Community-based Aboriginal Mental Health Care,"Maar, Marion A.; Shawande, Marjory",International Journal Of Indigenous Health,2010,
Aberrant adrenocortical tissue in hernia sac occurring in an adult: case report and review of the literature,"El Demellawy, D.; Nasr, A.; Samkari, A.; Pastolero, P.; Alowami, S.",Hernia,2009,
Community-based intervention to optimise falls risk management: a randomised controlled trial,"Ciaschini, P. M.; Straus, S. E.; Dolovich, L. R.; Goeree, R. A.; Leung, K. M.; Woods, C. R.; Zimmerman, G. M.; Majumdar, S. R.; Spadafora, S.; Fera, L. A.; Lee, H. N.",Age And Ageing,2009,
Cortical reorganization following anterior temporal lobectomy in patients with temporal lobe epilepsy,"Wong, S. W. H.; Jong, L.; Bandur, D.; Bihari, F.; Yen, Y-F; Takahashi, A. M.; Lee, D. H.; Steven, D. A.; Parrent, A. G.; Pigott, S. E.; Mirsattari, S. M.",Neurology,2009,
FOCUS GROUPS CONTRIBUTING TO DEVELOPMENT OF A SAFE DRIVING BEHAVIOR MEASURE,"Winter, S.; Classen, S.; Bedard, M.; Lutz, B. J.; Velozo, C. A.; Lanford, D. N.; Brumback, B.",Gerontologist,2009,
Fresh-frozen vs. irradiated allograft bone in orthopaedic reconstructive surgery,"Costain, D. J.; Crawford, R. W.",Injury - International Journal Of The Care Of The Injured,2009,
Harassment of Members of Parliament and the Legislative Assemblies in Canada by individuals believed to be mentally disordered,"Adams, Susan J.; Hazelwood, Tracey E.; Pitre, Nancy L.; Bedard, Terry E.; Landry, Suzette D.",Journal Of Forensic Psychiatry & Psychology,2009,
"Large differences in blood measures, tissue weights, and focal areas of damage 1 year after postseizure treatment with acepromazine or ketamine","George, Katherine R.; Rico, Timothy; St-Pierre, Linda; Dupont, Matthew J.; Blomme, Christopher G.; Mazzuchin, Angelo; Stewart, Lee S.; Persinger, Michael A.",Epilepsy & Behavior,2009,
Levels of Risk: Perspectives from the Lost Creek Fire,"Kulig, Judith C.; Edge, Dana; Reimer, William (Bill); Townshend, Ivan; Lightfoot, Nancy",Australian Journal Of Emergency Management,2009,
Management of kidney cancer: Canadian Kidney Cancer Forum Consensus Update,"Jewett, M. A. S.; Finelli, A.; Kollmannsberger, C.; Wood, L.; Legere, L.; Finelli, A.; Bjarnason, G.; Kapoor, A.; Karakiewicz, P.; Lacombe, L.; MacKenzie, M.; Rendon, R.; Tanguay, S.; Venner, P.; Wong, R.; Care, M.; Chin, J.; Clark, T.; Clarke, R.; Ebos, J.; Guba, M.; Hudson, T.; Kachura, J.; Kamel-Reid, S.; Kassouf, W.; Knox, J.; Leibovich, B.; Linehan, M.; Maskens, D.; O'Brien, P.; Pautler, S.; Reaume, N.; Rini, B.; Sills, T.; Quaggin, S.; Winquist, E.; Abugaber, A.; Assi, H.; Atwell, A.; Bajula, N.; Basiuk, J.; Black, P.; Blais, N.; Brigden, M.; Cagiannos, I.; Canil, C.; Carbonneau, F.; Chen, T.; Drachenberg, D.; Drayton, N.; Durrant, K.; Evans, A.; Fairfield, B.; Granl, R.; Heng, D.; Kawakami, J.; Klotz, L.; Kurban, G.; Kyryluk, K.; Link, I.; McAuley, I.; McCarthy, J.; Menard, G.; Michels, J.; Moore, R.; Morash, C.; North, S.; Pace, N.; Pause, A.; Pituskin, E.; Pizioli, T.; Reid, I.; Ruether, D.; Shaker, A.; Sridhar, K.; Taylor, L.; Truong, L. T.; Canadian Kidney Cancer, Forum 2009",CUAJ - Canadian Urological Association Journal,2009,
Molecular dynamics of histone H1,"Raghuram, Nikhil; Carrero, Gustavo; Th'ng, John; Hendzel, Michael J.",Biochemistry And Cell Biology,2009,
Novel Agent To Ablate CD8+ Cardiac Allograft Vasculopathy,"Jordan, J. L.; Ross, B. M.; Hirsch, G. M.; Lee, T. D. G.",Journal Of Heart And Lung Transplantation,2009,
Paint Your Plate: Effectiveness of a Point-of-purchase Display,"Colapinto, Cynthia K.; Malaviarachchi, Darshaka",Canadian Journal Of Dietetic Practice And Research,2009,
Paraquat-Induced Toxicity: Microarray Analysis of Gene Expression,"Mitsopoulos, P.; Cook, B.; Suntres, Z. E.",American Journal Of Respiratory And Critical Care Medicine,2009,
The patient journey record for complex care,"Martin, C.; Smith, K.; Ellaway, R.; Topps, D.; Biswas, R.; Sturmberg, J.",Swiss Medical Weekly,2009,
THE POSITIVE AND NEGATIVE APPRAISALS OF CAREGIVING ARE DIFFERENT CONSTRUCTS,"Vernon-Scott, S.; Bedard, M.",Gerontologist,2009,
Validation and Field Assessment of a Rapid Lateral Flow Assay for Detection of Bovine Antibody to Anaplasma marginale,"Nielsen, K.; Yu, W. L.; Kelly, L.; Williams, J.; Dajer, A.; Gutierrez, E.; Ramirez Cruz, G.; Renteria, T.; Bermudez, R.; Algire, J.",Journal Of Immunoassay & Immunochemistry,2009,
A 2-year community-randomized controlled trial of fluoride varnish to prevent early childnhood caries in Aboriginal children,"Lawrence, Herenia P.; Binguis, Darlene; Douglas, Jan; McKeown, Lynda; Switzer, Bonita; Figueiredo, Rafael; Laporte, Audrey",Community Dentistry And Oral Epidemiology,2008,
"Altered blood chemistry and hippocampal histomorphology in adult rats following prenatal exposure to physiologically-patterned, weak (50-500nanoTesla range) magnetic fields","St-Pierre, L.; Mazzuchin, A.; Persinger, M. A.",International Journal Of Radiation Biology,2008,
